企业名称,登记状态,注册资本,所属区县,所属行业,江苏省企业地址,,经度,纬度,需求量,,
江苏华日源电子科技有限公司,存续,3000,金坛区,计算机、通信和其他电子设备制造业,江苏省常州市金坛区尧塘镇金武路18号,,119.660006,31.723457,3.24E-06,,
莱克勒喷嘴系统（常州）有限公司,在业,3190,金坛区,通用设备制造业,江苏省常州市金坛区德城路99号,,119.597897,31.723247,3.45E-06,,
江苏海目星联盛智能装备有限公司,存续,3000,金坛区,专用设备制造业,江苏省常州市金坛区鑫城大道2898号,,119.597897,31.723247,3.24E-06,,
伊莎贝棱辉特（常州）电子科技有限公司,存续,4260,金坛区,电气机械和器材制造业,江苏省常州市金坛区鑫城大道2898号,,119.597897,31.723247,4.61E-06,,
常州市赛墨科技有限公司,存续,1000,金坛区,计算机、通信和其他电子设备制造业,江苏省常州市金坛区鑫城大道2898号,,119.597897,31.723247,1.08E-06,,
汇乐智能装备（常州）有限公司,存续,2000,金坛区,专用设备制造业,江苏省常州市金坛区南二环东路2777号,,119.649164,31.732207,2.16E-06,,
江苏澋润数控科技有限公司,存续,1000,金坛区,通用设备制造业,江苏省常州市金坛区珠山路19号,,119.597897,31.723247,1.08E-06,,
江苏顺源航空零部件有限公司,存续,3000,金坛区,铁路、船舶、航空航天和其他运输设备制造业,江苏省常州市金坛区云湖路56号,,119.661109,31.738793,3.24E-06,,
江苏圣龙精密制造科技有限公司,存续,1000,金坛区,专用设备制造业,江苏省常州市金坛区云湖路56号,,119.661109,31.738793,1.08E-06,,
江苏艾龙森汽车部件有限公司,存续,2600,金坛区,汽车制造业,江苏省常州市金坛区月湖北路39号,,119.597897,31.723247,2.81E-06,,
江苏航锐科技有限公司,存续,1000,金坛区,铁路、船舶、航空航天和其他运输设备制造业,江苏省常州市金坛区珠山路17号,,119.597897,31.723247,1.08E-06,,
江苏悦马特机械科技有限公司,存续,1000,金坛区,通用设备制造业,江苏省常州市金坛区文景路6号,,119.597897,31.723247,1.08E-06,,
常州新马干燥工程有限公司,存续,12856,金坛区,专用设备制造业,江苏省常州市金坛区文景路55号,,119.597897,31.723247,1.39E-05,,
江苏宝财自动化装备有限公司,存续,1000,金坛区,仪器仪表制造业,江苏省常州市金坛区文景路1号,,119.597897,31.723247,1.08E-06,,
安格诺尔（江苏）智能电气有限公司,存续,3100,金坛区,电气机械和器材制造业,江苏省常州市金坛区尧塘镇亿晶路9号,,119.675535,31.722219,3.35E-06,,
江苏新马干燥科技有限公司,存续,1580,金坛区,专用设备制造业,江苏省常州市金坛区文景路55号,,119.597897,31.723247,1.71E-06,,
常州拓浦照明科技有限公司,存续,1000,金坛区,电气机械和器材制造业,江苏省常州市金坛区尧塘镇亿晶路9号,,119.675535,31.722219,1.08E-06,,
江苏江南清洁能源研究院有限公司,存续,1000,金坛区,电气机械和器材制造业,江苏省常州市金坛区尧塘镇亿晶路9号,,119.675535,31.722219,1.08E-06,,
常州联泰重工机械有限公司,存续,3000,金坛区,专用设备制造业,江苏省常州市金坛区尧塘工业园亿晶路2号,,119.677503,31.723257,3.24E-06,,
百瑞医疗科技（常州）有限公司,存续,1914,金坛区,专用设备制造业,江苏省常州市金坛区华城中路北侧(金坛经济开发区国际工业城5号楼东),,119.6575,31.74451,2.07E-06,,
常州帝升重工机械有限公司,存续,1000,金坛区,通用设备制造业,江苏省常州市金坛区华城路1788号,,119.660315,31.744424,1.08E-06,,
常州美信机械科技股份有限公司,存续,1000,金坛区,专用设备制造业,江苏省常州市金坛区经济开发区华城路1788号,,119.660315,31.744424,1.08E-06,,
常州莱克斯诺传动设备有限公司,存续,396553685,金坛区,通用设备制造业,江苏省常州市金坛区复兴路58号,,119.641392,31.739693,4.29E-01,,
常州卓益精齿医疗器材有限公司,存续,1000,金坛区,专用设备制造业,江苏省常州市金坛区复兴路58号4号楼,,119.641392,31.739693,1.08E-06,,
江苏华益壹品医疗科技有限公司,存续,3000,金坛区,专用设备制造业,江苏省常州市金坛区复兴路58号,,119.641392,31.739693,3.24E-06,,
常州易联电子科技有限公司,存续,2000,金坛区,电气机械和器材制造业,江苏省常州市金坛区华城路1668号3号楼,,119.654554,31.74475,2.16E-06,,
江苏思睿迪快速制造科技有限公司,存续,1000,金坛区,专用设备制造业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,1.08E-06,,
常州市长荣海目星智能装备有限公司,存续,4200,金坛区,专用设备制造业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,4.54E-06,,
江苏乐乐照明科技发展有限公司,存续,4600,金坛区,电气机械和器材制造业,江苏省常州市金坛区经济开发区中兴路89号,,119.638918,31.739552,4.98E-06,,
常州常重机械有限公司,存续,1080,金坛区,通用设备制造业,江苏省金坛经济开发区中兴路89号,,119.638918,31.739552,1.17E-06,,
晶电信息材料（江苏）有限公司,存续,32538,金坛区,电气机械和器材制造业,江苏省常州市金坛经济开发区中兴路89号,,119.638918,31.739552,3.52E-05,,
常州市豪迈机械制造有限公司,存续,1200,金坛区,通用设备制造业,江苏省常州市金坛经济开发区中兴路89号,,119.638918,31.739552,1.30E-06,,
冈田精机（常州）有限公司,存续,1000,金坛区,专用设备制造业,江苏省常州市金坛区中兴路89号,,119.638918,31.739552,1.08E-06,,
江苏齐梁轨道交通装备有限公司,存续,1000,金坛区,铁路、船舶、航空航天和其他运输设备制造业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,1.08E-06,,
常州众仁自动化设备制造有限公司,存续,2000,金坛区,专用设备制造业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,2.16E-06,,
江苏吉宏自动化设备有限公司,存续,1000,金坛区,仪器仪表制造业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,1.08E-06,,
江苏柏灵激光智能设备有限公司,存续,1000,金坛区,专用设备制造业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,1.08E-06,,
常州九方润德新材料有限公司,存续,1000,金坛区,汽车制造业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,1.08E-06,,
吉地亚汽车系统（常州）有限公司,存续,3550,金坛区,汽车制造业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,3.84E-06,,
江苏隆泰丰医疗器械有限公司,存续,2000,金坛区,专用设备制造业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,2.16E-06,,
江苏晶宇智能科技有限公司,存续,1000,金坛区,专用设备制造业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,1.08E-06,,
金灵医疗科技（常州）有限公司,存续,1000,金坛区,专用设备制造业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,1.08E-06,,
江苏安田亚士达机械有限公司,存续,1000,金坛区,通用设备制造业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,1.08E-06,,
江苏双笑新能源科技有限公司,存续,1050,金坛区,汽车制造业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,1.14E-06,,
常州科美智能科技有限公司,存续,1000,金坛区,专用设备制造业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,1.08E-06,,
常州欧德嘉电子科技有限公司,存续,1000,金坛区,计算机、通信和其他电子设备制造业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,1.08E-06,,
德锐福传动系统（常州）有限公司,存续,1000,金坛区,通用设备制造业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,1.08E-06,,
艾赛斯机械（常州）有限公司,存续,1914,金坛区,专用设备制造业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,2.07E-06,,
常州市金坛神湖机电有限公司,存续,3000,金坛区,通用设备制造业,江苏省常州市金坛区龙湖路39号,,119.657741,31.747212,3.24E-06,,
常州市国电聚龙电气技术有限公司,存续,1000,金坛区,电气机械和器材制造业,江苏省常州市金坛区南二环东路1699号,,119.631644,31.732682,1.08E-06,,
常州常园电子材料有限责任公司,存续,1000,金坛区,计算机、通信和其他电子设备制造业,江苏省常州市金坛区南二环东路1699号,,119.631644,31.732682,1.08E-06,,
江苏新顺章机械有限公司,存续,1000,金坛区,通用设备制造业,江苏省常州市金坛经济开发区双龙路12号,,119.660644,31.747779,1.08E-06,,
常州志得电子有限公司,存续,1000,金坛区,计算机、通信和其他电子设备制造业,江苏省常州市金坛区龙湖路18号,,119.657251,31.748045,1.08E-06,,
常州市易度电动科技有限公司,存续,2000,金坛区,铁路、船舶、航空航天和其他运输设备制造业,江苏省常州市金坛区金胜东路228号,,119.651949,31.748044,2.16E-06,,
江苏来义包装机械有限公司,存续,1058,金坛区,专用设备制造业,江苏省常州市金坛区金胜东路238号,,119.655756,31.748606,1.14E-06,,
常州润成环境科技有限公司,存续,2000,金坛区,专用设备制造业,江苏省常州市金坛区金胜东路230号,,119.652822,31.748223,2.16E-06,,
江苏欧利威流体科技有限公司,存续,3000,金坛区,专用设备制造业,江苏省常州市金坛区金胜东路237号,,119.654792,31.748845,3.24E-06,,
江苏新蓝智能装备股份有限公司,存续,3200,金坛区,专用设备制造业,江苏省常州市金坛区金胜东路239号,,119.655472,31.74894,3.46E-06,,
江苏肇风机电设备有限公司,存续,1000,金坛区,电气机械和器材制造业,江苏省常州市金坛区兴华路167号,,119.666185,31.748072,1.08E-06,,
江苏晟源机械科技有限公司,存续,1000,金坛区,专用设备制造业,江苏省常州市金坛区尧塘街道尧汤路8号,,119.682559,31.71621,1.08E-06,,
常州博瑞汽车电控科技有限公司,存续,1000,金坛区,汽车制造业,江苏省常州市金坛区汇福路666号,,119.647816,31.748123,1.08E-06,,
