企业名称,登记状态,注册资本,所属区县,所属行业,江苏省企业地址,,经度,纬度,需求量,,
江苏华日源电子科技有限公司,存续,3000,金坛区,计算机、通信和其他电子设备制造业,江苏省常州市金坛区尧塘镇金武路18号,,119.660006,31.723457,7.74E-06,,
江苏瑞明新材料科技有限公司,存续,1000,金坛区,橡胶和塑料制品业,江苏省常州市金坛区尧塘镇亿晶路99号,,119.66377,31.72287,2.58E-06,,
常州市金坛汤庄电镀有限公司,存续,1500,金坛区,金属制品业,江苏省常州市金坛区亿晶路16号,,119.665141,31.723486,3.87E-06,,
莱克勒喷嘴系统（常州）有限公司,在业,3190,金坛区,通用设备制造业,江苏省常州市金坛区德城路99号,,119.597897,31.723247,8.23E-06,,
伊莎贝棱辉特（常州）电子科技有限公司,存续,4260,金坛区,电气机械和器材制造业,江苏省常州市金坛区鑫城大道2898号,,119.597897,31.723247,1.10E-05,,
常州市赛墨科技有限公司,存续,1000,金坛区,计算机、通信和其他电子设备制造业,江苏省常州市金坛区鑫城大道2898号,,119.597897,31.723247,2.58E-06,,
江苏捷尔特智能家具有限公司,存续,1000,金坛区,家具制造业,江苏省常州市金坛区复兴南路18号,,119.641944,31.731463,2.58E-06,,
江苏澋润数控科技有限公司,存续,1000,金坛区,通用设备制造业,江苏省常州市金坛区珠山路19号,,119.597897,31.723247,2.58E-06,,
常州杰铭新材料科技有限公司,存续,1000,金坛区,橡胶和塑料制品业,江苏省常州市金坛区月湖北路33号,,119.597897,31.723247,2.58E-06,,
江苏傲润塑业科技有限公司,存续,2000,金坛区,橡胶和塑料制品业,江苏省常州市金坛区尧塘镇工业园区经十二路18号,,119.683044,31.710441,5.16E-06,,
江苏东方正泽生物科技有限公司,存续,1000,金坛区,医药制造业,江苏省常州市金坛区月湖北路59号,,119.597897,31.723247,2.58E-06,,
江苏艾龙森汽车部件有限公司,存续,2600,金坛区,汽车制造业,江苏省常州市金坛区月湖北路39号,,119.597897,31.723247,6.71E-06,,
江苏好牧人塑业有限公司,存续,2000,金坛区,橡胶和塑料制品业,江苏省常州市金坛区尧塘镇工业园区经十二路18号,,119.683044,31.710441,5.16E-06,,
江苏宝弘塑业有限公司,存续,1000,金坛区,橡胶和塑料制品业,江苏省常州市金坛区尧塘镇工业区经十二路18号,,119.68259,31.709621,2.58E-06,,
江苏悦马特机械科技有限公司,存续,1000,金坛区,通用设备制造业,江苏省常州市金坛区文景路6号,,119.597897,31.723247,2.58E-06,,
江苏宝财自动化装备有限公司,存续,1000,金坛区,仪器仪表制造业,江苏省常州市金坛区文景路1号,,119.597897,31.723247,2.58E-06,,
安格诺尔（江苏）智能电气有限公司,存续,3100,金坛区,电气机械和器材制造业,江苏省常州市金坛区尧塘镇亿晶路9号,,119.675535,31.722219,8.00E-06,,
常州拓浦照明科技有限公司,存续,1000,金坛区,电气机械和器材制造业,江苏省常州市金坛区尧塘镇亿晶路9号,,119.675535,31.722219,2.58E-06,,
江苏江南清洁能源研究院有限公司,存续,1000,金坛区,电气机械和器材制造业,江苏省常州市金坛区尧塘镇亿晶路9号,,119.675535,31.722219,2.58E-06,,
常州市远达塑业有限公司,存续,1000,金坛区,橡胶和塑料制品业,江苏省常州市金坛区尧塘镇亿晶路6-2号,,119.676015,31.723251,2.58E-06,,
常州帝升重工机械有限公司,存续,1000,金坛区,通用设备制造业,江苏省常州市金坛区华城路1788号,,119.660315,31.744424,2.58E-06,,
常州莱克斯诺传动设备有限公司,存续,396553685,金坛区,通用设备制造业,江苏省常州市金坛区复兴路58号,,119.641392,31.739693,1.02E+00,,
江苏同威信达生物科技有限公司,在业,2000,金坛区,医药制造业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,5.16E-06,,
常州易联电子科技有限公司,存续,2000,金坛区,电气机械和器材制造业,江苏省常州市金坛区华城路1668号3号楼,,119.654554,31.74475,5.16E-06,,
江苏乐乐照明科技发展有限公司,存续,4600,金坛区,电气机械和器材制造业,江苏省常州市金坛区经济开发区中兴路89号,,119.638918,31.739552,1.19E-05,,
常州常重机械有限公司,存续,1080,金坛区,通用设备制造业,江苏省金坛经济开发区中兴路89号,,119.638918,31.739552,2.79E-06,,
晶电信息材料（江苏）有限公司,存续,32538,金坛区,电气机械和器材制造业,江苏省常州市金坛经济开发区中兴路89号,,119.638918,31.739552,8.39E-05,,
江苏润宇门窗有限公司,存续,1000,金坛区,金属制品业,江苏省常州市金坛区中兴路89号,,119.638918,31.739552,2.58E-06,,
常州市豪迈机械制造有限公司,存续,1200,金坛区,通用设备制造业,江苏省常州市金坛经济开发区中兴路89号,,119.638918,31.739552,3.09E-06,,
常州冠荣新型包装材料有限公司,存续,1000,金坛区,橡胶和塑料制品业,江苏省常州市金坛区亿晶路198号,,119.631294,31.723327,2.58E-06,,
常州倍捷塑业科技有限公司,存续,1200,金坛区,橡胶和塑料制品业,江苏省常州市金坛区亿晶路198号,,119.631294,31.723327,3.09E-06,,
凯斯宝玛五金科技（江苏）有限公司,存续,1491,金坛区,金属制品业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,3.85E-06,,
江苏吉宏自动化设备有限公司,存续,1000,金坛区,仪器仪表制造业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,2.58E-06,,
江苏鑫颢泰新材料有限公司,存续,1088,金坛区,金属制品业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,2.81E-06,,
常州九方润德新材料有限公司,存续,1000,金坛区,汽车制造业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,2.58E-06,,
吉地亚汽车系统（常州）有限公司,存续,3550,金坛区,汽车制造业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,9.16E-06,,
常州威可特新材料有限公司,存续,1914,金坛区,橡胶和塑料制品业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,4.94E-06,,
常州增材制造研究院有限公司,存续,1000,金坛区,橡胶和塑料制品业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,2.58E-06,,
江苏鸿硕工程塑料科技股份有限公司,存续,1000,金坛区,橡胶和塑料制品业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,2.58E-06,,
江苏安田亚士达机械有限公司,存续,1000,金坛区,通用设备制造业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,2.58E-06,,
江苏双笑新能源科技有限公司,存续,1050,金坛区,汽车制造业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,2.71E-06,,
常州欧德嘉电子科技有限公司,存续,1000,金坛区,计算机、通信和其他电子设备制造业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,2.58E-06,,
德锐福传动系统（常州）有限公司,存续,1000,金坛区,通用设备制造业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,2.58E-06,,
常州杰美德精密型材有限公司,存续,1000,金坛区,橡胶和塑料制品业,江苏省常州市金坛区华城路1668号,,119.654357,31.747039,2.58E-06,,
常州市金坛神湖机电有限公司,存续,3000,金坛区,通用设备制造业,江苏省常州市金坛区龙湖路39号,,119.657741,31.747212,7.74E-06,,
常州市国电聚龙电气技术有限公司,存续,1000,金坛区,电气机械和器材制造业,江苏省常州市金坛区南二环东路1699号,,119.631644,31.732682,2.58E-06,,
江苏科泰绝热新材料有限公司,存续,3530,金坛区,橡胶和塑料制品业,江苏省常州市金坛区南二环东路1698号,,119.631961,31.733129,9.10E-06,,
常州常园电子材料有限责任公司,存续,1000,金坛区,计算机、通信和其他电子设备制造业,江苏省常州市金坛区南二环东路1699号,,119.631644,31.732682,2.58E-06,,
江苏新顺章机械有限公司,存续,1000,金坛区,通用设备制造业,江苏省常州市金坛经济开发区双龙路12号,,119.660644,31.747779,2.58E-06,,
常州佑迪集友纺织有限公司,存续,1914,金坛区,纺织业,江苏省常州市金坛区尧塘街道南大街15号,,119.68008,31.718531,4.94E-06,,
