企业名称,登记状态,注册资本,所属区县,所属行业,江苏省企业地址,,经度,纬度,需求量,,
江苏元泰建材有限公司,存续,1200,金坛区,非金属矿物制品业,江苏省常州市金坛区尧塘工业园金武路18号,,119.660006,31.723457,1.73E-06,,
江苏瑞明新材料科技有限公司,存续,1000,金坛区,橡胶和塑料制品业,江苏省常州市金坛区尧塘镇亿晶路99号,,119.66377,31.72287,1.44E-06,,
常州市金坛汤庄电镀有限公司,存续,1500,金坛区,金属制品业,江苏省常州市金坛区亿晶路16号,,119.665141,31.723486,2.17E-06,,
莱克勒喷嘴系统（常州）有限公司,在业,3190,金坛区,通用设备制造业,江苏省常州市金坛区德城路99号,,119.597897,31.723247,4.61E-06,,
伊莎贝棱辉特（常州）电子科技有限公司,存续,4260,金坛区,电气机械和器材制造业,江苏省常州市金坛区鑫城大道2898号,,119.597897,31.723247,6.15E-06,,
江苏捷尔特智能家具有限公司,存续,1000,金坛区,家具制造业,江苏省常州市金坛区复兴南路18号,,119.641944,31.731463,1.44E-06,,
江苏澋润数控科技有限公司,存续,1000,金坛区,通用设备制造业,江苏省常州市金坛区珠山路19号,,119.597897,31.723247,1.44E-06,,
常州杰铭新材料科技有限公司,存续,1000,金坛区,橡胶和塑料制品业,江苏省常州市金坛区月湖北路33号,,119.597897,31.723247,1.44E-06,,
江苏顺源航空零部件有限公司,存续,3000,金坛区,铁路、船舶、航空航天和其他运输设备制造业,江苏省常州市金坛区云湖路56号,,119.661109,31.738793,4.33E-06,,
江苏傲润塑业科技有限公司,存续,2000,金坛区,橡胶和塑料制品业,江苏省常州市金坛区尧塘镇工业园区经十二路18号,,119.683044,31.710441,2.89E-06,,
江苏艾龙森汽车部件有限公司,存续,2600,金坛区,汽车制造业,江苏省常州市金坛区月湖北路39号,,119.597897,31.723247,3.75E-06,,
江苏好牧人塑业有限公司,存续,2000,金坛区,橡胶和塑料制品业,江苏省常州市金坛区尧塘镇工业园区经十二路18号,,119.683044,31.710441,2.89E-06,,
江苏宝弘塑业有限公司,存续,1000,金坛区,橡胶和塑料制品业,江苏省常州市金坛区尧塘镇工业区经十二路18号,,119.68259,31.709621,1.44E-06,,
江苏航锐科技有限公司,存续,1000,金坛区,铁路、船舶、航空航天和其他运输设备制造业,江苏省常州市金坛区珠山路17号,,119.597897,31.723247,1.44E-06,,
江苏悦马特机械科技有限公司,存续,1000,金坛区,通用设备制造业,江苏省常州市金坛区文景路6号,,119.597897,31.723247,1.44E-06,,
江苏宝财自动化装备有限公司,存续,1000,金坛区,仪器仪表制造业,江苏省常州市金坛区文景路1号,,119.597897,31.723247,1.44E-06,,
安格诺尔（江苏）智能电气有限公司,存续,3100,金坛区,电气机械和器材制造业,江苏省常州市金坛区尧塘镇亿晶路9号,,119.675535,31.722219,4.48E-06,,
